mfcc_mean_0,mfcc_std_0,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,spectral_rolloff_mean,spectral_rolloff_std,spectral_centroid_mean,energy_mean,energy_std,zcr_mean,duration_sec,member_id,source_file,augmentation
-58.169620149406924,66.977296243174,50.66276524830663,24.47586243801921,-31.86584288237017,12.473029979528983,36.171359959582276,9.53533551767814,-12.432492497071827,6.890495112095583,17.18054930806632,6.93363918197082,-19.43598718294232,4.0043450370886955,18.031938724287585,3.987632942203269,-17.540866113695447,6.140429401416966,15.017942260728468,3.7065638264165712,-13.693844887253332,3.928758132308711,12.778846631376561,3.458111645399516,-9.836654765864019,3.323801447049115,2462.923689714567,1547.5796920115667,2108.566484130747,0.02575654350221157,0.04430101066827774,0.16363874154226082,3.033514739229025,member1,member1_approve.ogg,original
-32.59482469871979,70.3323078765745,27.242978010782466,24.357836676322844,-10.409165767646368,13.768127856930521,20.037841797463926,9.832721727105323,1.204839341401496,4.218781207214243,-1.2473482958129547,6.014550743243344,-1.7935533238476213,4.722750582913454,1.6342813985307874,4.856893713263345,-3.1094359537967464,2.980847041321631,2.3822033008331647,4.210255645650051,-1.9772029128351678,3.030033226483311,2.7079085042390045,2.1812572714736014,-1.6673241451728127,2.004562784857508,2800.784579190341,1808.2666654724549,2423.2001215798464,0.026059191673994064,0.04424089938402176,0.18607718612603805,2.6378231292517005,member1,member1_approve.ogg,stretch_fast
-97.74989410820106,61.336949574315355,86.17571704525852,23.919771928588183,-61.186377273241575,11.077465941287072,54.5592191838107,12.289727765855352,-25.417681053568305,10.055640470742901,29.57114487639923,6.602950766129476,-21.56611235420118,4.754826528670995,12.139184741679825,4.335246414452021,-3.7405681471171572,4.821520430710395,-3.6656644697073237,3.6618942619720953,8.024818233713384,2.6889722609106705,-11.3181426275535,3.2117887220430257,12.715391180209487,2.9834635129480316,2088.50537109375,1289.8942687604294,1787.3815826310065,0.025462795048952103,0.04435424134135246,0.1399641752157629,3.568798185941043,member1,member1_approve.ogg,stretch_slow
-58.063554497649044,67.04095042869828,50.556883129991554,24.426758017724037,-31.760546318055187,12.45416427755077,36.06702892852899,9.520864617068787,-12.329502308799084,6.881612779231029,17.079277586187995,6.949155843268513,-19.336805328124083,3.9945115300758256,17.935210799049727,4.033161150877139,-17.446944580490943,6.107366186170554,14.927179035461196,3.6734294754499004,-13.60655725169901,3.9385165140027203,12.69535970553717,3.4538956487967565,-9.75727181607179,3.3430610099281863,2462.923689714567,1547.5796920115667,2108.5810053479745,0.02575654350221157,0.04430100694298744,0.16363874154226082,3.033514739229025,member1,member1_approve.ogg,pitch_up
-57.74113999986352,67.01532896365178,50.23504487858257,24.3849313916855,-31.44047420016064,12.424670525060813,35.7498929011741,9.570419301750386,-12.016448746687875,6.929973738706201,16.771459807329556,6.997403783141107,-19.035342861144308,4.019867401425792,17.64119539547049,4.037247271076778,-17.161458772602476,6.1822634442621185,14.651252791659463,3.739756521972831,-13.341202831297696,3.9355843658669287,12.441541954035722,3.4881901275522793,-9.515919723289587,3.4118148446158147,2462.923689714567,1547.5796920115667,2108.5951195616885,0.025756539776921272,0.044301003217697144,0.16363874154226082,3.033514739229025,member1,member1_approve.ogg,pitch_down
19.880838908580056,42.40459991356394,3.6734826033450934,23.034405961312572,3.4371453393799865,9.982320341131734,5.016320908049559,8.910395583458346,3.547081703757299,6.051027378307888,-0.7439074825058533,4.451541786177852,-0.001098160850704355,2.6418318415147897,0.22115253652037084,3.278897807713039,-0.9090441224529804,3.7910628909454016,-0.32941870961015995,1.9147342785306065,0.3378210172053462,2.9421685311609553,0.2787501505758288,1.982873202463457,0.738448319301273,1.5178969580616102,6188.083053949311,3753.9049283281274,4160.330639090969,0.02707795239984989,0.04361971840262413,0.3367478430120515,3.033514739229025,member1,member1_approve.ogg,noise
-59.84842429373875,93.26476403866737,57.93824913225241,27.008125049502883,-30.283909742343063,11.086785433013587,34.947254910506906,10.65928820429169,-13.085191194682603,10.342456206158587,19.724220483970125,6.4824932060258815,-16.824327724708766,5.180605062922305,15.023930380686547,4.727097353582709,-17.105628871255615,6.302731212638737,14.550092034759244,4.0239557904522485,-11.843538590589203,3.4867070377561222,12.05232180564678,2.9389460310712963,-11.787722181599442,3.634729909272794,1658.056640625,1231.0711445841355,1753.5654262527373,0.03311961889266968,0.04339658096432686,0.11947684694238245,2.933514739229025,member1,member1_confirm.ogg,original
-32.941168627969674,98.62068124351609,35.110064517278275,26.514823689951978,-10.021630180229728,10.08798100306515,19.000879503109275,10.085322595933187,0.4554131685371493,8.082782701455049,2.710594086712963,6.129748749005083,-2.7519796403352186,4.193296298244526,-0.5097116884512234,5.5252065283316725,-2.4466180489189204,2.8512547678517377,2.8641133991131604,5.186529675121451,-1.484160909321505,2.660919902042539,0.12143551565044548,2.6781940414057583,-2.2588268436753594,2.8415970900543512,1882.834841170401,1420.0703686729667,2012.8505107991011,0.033636823296546936,0.043307866901159286,0.13618641177609203,2.5508390022675735,member1,member1_confirm.ogg,stretch_fast
-99.72904817029705,86.45061384956001,92.45199239323638,27.90606516346252,-57.9260247055872,13.977398822591505,52.90104912851456,12.609798387613631,-25.764738979256457,11.753959583352309,29.56349310771153,6.345927602625452,-17.152535739382408,5.890492152560401,11.12958104034143,3.442788136191563,-4.758057424789175,4.936298531533562,-3.895579330591929,4.093846860416845,8.116194435466618,3.8406244243127614,-8.993568373970641,2.5780460222539294,12.267510107894577,3.0165419465305656,1422.8249595905172,1053.3535051665024,1486.458498407089,0.03283955529332161,0.043539173901081085,0.10307430554385728,3.451156462585034,member1,member1_confirm.ogg,stretch_slow
-59.73743370973422,93.37875616812754,57.82746046248149,26.90876283172004,-30.1737515275871,11.08284551666242,34.83812205383041,10.661502151336444,-12.97746563825775,10.271740174579827,19.6183051051893,6.398731372681354,-16.720567802338813,5.142026246433863,14.922744425126501,4.804899998059028,-17.007373791739123,6.197784373583982,14.455109837216737,3.936400618638069,-11.752209845654733,3.527771680952633,11.964978520390144,2.89855118235156,-11.704660091959145,3.5793543784555815,1658.056640625,1231.0711445841355,1753.5997148008262,0.03311961144208908,0.04339657351374626,0.11950862058693863,2.933514739229025,member1,member1_confirm.ogg,pitch_up
